ID,Site,Year,Species,Stage,SL,Mass,GutLength1,GutLength2,AvgGutLength,Include,DryWeight,EmbryoDryWeight,EmbryoCount,EmbryoStage
275066,CR-009990,2006,Brha,Female,43.17,1.7292,42.06,32.39,37.225,Yes,0.2654,0.0689,19,5
275067,CR-009990,2006,Brha,Female,45.29,1.8917,35.23,32.84,34.035,Yes,0.3048,0.0668,21,3
275068,CR-009990,2006,Brha,Female,32.41,0.7804,20.34,21.23,20.785,Yes,0.1076,0.0375,11,4
275069,CR-009990,2006,Brha,Female,32.68,0.7228,28.3,28.4,28.35,Yes,0.1095,0.4,12,5
275070,CR-009990,2006,Brha,Female,34.3,0.8575,32.65,31.55,32.1,Yes,0.133,0.0194,8,9
275071,CR-009990,2006,Brha,Female,29.77,0.4493,23.55,23.79,23.67,Yes,0.0736,0.0176,6,3
275072,CR-009990,2006,Brha,Immature,27.65,0.3854,26.13,24.75,25.44,Yes,0.0676,NA,NA,NA
275097,CR-009991,2006,Brha,Female,44.16,2.2705,46.42,48.33,47.375,Yes,0.4156,0.0958,22,6
275098,CR-009991,2006,Brha,Female,46.72,2.7152,54.36,54.25,54.305,Yes,0.468,0.1364,48,7
275099,CR-009991,2006,Brha,Female,43.39,2.0372,35.24,35.24,35.24,Yes,0.3872,0.0627,17,7
275100,CR-009991,2006,Brha,Female,37.39,1.2893,36.39,36.15,36.27,Yes,0.2547,0.0361,11,6
275101,CR-009991,2006,Brha,Female,36.25,1.1334,30.63,30.36,30.495,Yes,0.2204,0.0367,16,3
275102,CR-009991,2006,Brha,Female,31.02,0.6192,25.68,25.9,25.79,Yes,0.1194,0.0088,6,3
275103,CR-009991,2006,Brha,Female,37.7,1.4592,28.71,28.51,28.61,Yes,0.2652,0.0589,23,7
275147,CR-009994,2006,Brha,Female,37.53,1.2503,38.54,40.86,39.7,Yes,0.2375,0.0477,9,5
275148,CR-009994,2006,Brha,Female,35.74,0.9395,38.86,43.07,40.965,Yes,0.1821,0.0202,4,4
275149,CR-009994,2006,Brha,Female,35.13,0.8282,28.38,28.73,28.555,Yes,0.176,0.0191,4,5
275150,CR-009994,2006,Brha,Immature,31.99,0.6717,18.19,18.59,18.39,Yes,0.1419,NA,NA,NA
275151,CR-009994,2006,Brha,Female,39.99,1.4319,28.64,33.54,31.09,Yes,0.2681,0.0744,15,5
275152,CR-009994,2006,Brha,Female,37.19,1.1056,35.03,34.88,34.955,Yes,0.2053,0.0464,11,7
275153,CR-009994,2006,Brha,Female,34.77,1.0811,29.22,29.88,29.55,Yes,0.198,0.0273,10,11
275154,CR-009994,2006,Brha,Immature,27.39,0.3689,20.51,19.37,19.94,Yes,NA,NA,NA,NA
CR01-Brha-01,CR01,2024,Brha,Female,34.35,0.83,29,NA,29,No,0.1908,0.0162,8,10
CR01-Brha-02,CR01,2024,Brha,Female,33.73,0.79,25.43,NA,25.43,No,0.163,0.0515,20,5
CR01-Brha-03,CR01,2024,Brha,Female,28.97,0.47,19.74,NA,19.74,No,0.1004,0.0113,4,11
CR01-Brha-04,CR01,2024,Brha,Female,28.73,0.46,16.89,NA,16.89,No,0.0898,0.0212,7,4
CR01-Brha-05,CR01,2024,Brha,Female,27.35,0.36,17.51,NA,17.51,No,0.0809,0.0107,5,9
CR01-Brha-06,CR01,2024,Brha,Female,25.87,0.2778,16.15,NA,16.15,No,0.0643,0.0075,4,6
CR01-Brha-07,CR01,2024,Brha,Female,27.23,0.355,22.78,NA,22.78,No,0.0818,0.009,4,8
CR01-Pgil-02,CR01,2024,Pgil,Female,40.56,1.59,174.4,NA,174.4,No,0.3152,0.0732,18,5
CR01-Pgil-04,CR01,2024,Pgil,Female,41.11,1.48,139.68,NA,139.68,No,0.3526,0.0458,15,6
CR01-Pgil-05,CR01,2024,Pgil,Female,33.67,0.89,122.01,NA,122.01,No,0.1815,0.0152,3,11
CR01-Pgil-06,CR01,2024,Pgil,Female,30.47,0.5954,104.09,NA,104.09,No,0.1324,0.0193,7,8
CR01-Pgil-01,CR01,2024,Pgil,Immature,37.8,1.41,179.56,NA,179.56,No,NA,NA,NA,NA
CR01-Pgil-03,CR01,2024,Pgil,Immature,39.07,1.37,164.09,NA,164.09,No,NA,NA,NA,NA
317543,CR-010116,2010,Brha,Immature,28.23,0.4035,21.43,22.09,21.76,Yes,0.1115,NA,NA,NA
317544,CR-010116,2010,Brha,Immature,25.58,0.3068,16.63,13.56,15.095,Yes,0.0796,NA,NA,NA
317545,CR-010116,2010,Brha,Immature,27.43,0.4035,23.33,23.57,23.45,Yes,0.2654,NA,NA,NA
317546,CR-010116,2010,Brha,Immature,24.45,0.2696,16.4,16.07,16.235,Yes,0.3048,NA,NA,NA
317547,CR-010116,2010,Brha,Female,25.92,0.3422,14.77,15.13,14.95,Yes,0.0796,0.0105,7,3
152855,CR-010837,2005,Brha,Female,32.01,0.7833,25.03,25.22,25.125,Yes,0.1729,0.025,16,8
152856,CR-010837,2005,Brha,Female,40.53,1.6012,30.33,31.65,30.99,Yes,0.3891,0.048,24,7
152857,CR-010837,2005,Brha,Female,40.99,NA,25.24,25.28,25.26,Yes,0.3756,0.0634,32,7
152858,CR-010837,2005,Brha,Female,29.93,0.05959,28.62,28.53,28.575,Yes,0.1337,0.0194,17,4
152859,CR-010837,2005,Brha,Female,38.97,1.2373,29.71,28.83,29.27,Yes,0.2929,0.0466,22,5
152860,CR-010837,2005,Brha,Female,36.53,1.1119,23.43,22.8,23.115,Yes,0.2635,0.0349,22,8
152861,CR-010837,2005,Brha,Female,34.14,0.9427,26.88,26.12,26.5,Yes,0.2131,0.0373,19,6
152862,CR-010837,2005,Brha,Female,33.91,0.8827,30.94,30.34,30.64,Yes,0.2047,0.0356,17,6
152863,CR-010837,2005,Brha,Female,31.42,0.6265,20.22,20.54,20.38,Yes,0.1487,0.0239,21,7
152864,CR-010837,2005,Brha,Female,28.89,0.484,21.54,21,21.27,Yes,0.1041,0.0184,18,3
152865,CR-010837,2005,Brha,Immature,28.97,0.487,23.37,24.31,23.84,Yes,0.1177,0.0062,NA,2-Jan
151783,CR-010838,2006,Brha,Immature,35.2,0.9958,22.26,22.34,22.3,Yes,0.2184,NA,NA,NA
151784,CR-010838,2006,Brha,Immature,38.6,1.2034,26.04,25.94,25.99,Yes,0.2717,NA,NA,NA
151785,CR-010838,2006,Brha,Immature,36.11,1.055,19.98,22.28,21.13,Yes,0.2238,NA,NA,NA
151786,CR-010838,2006,Brha,Female,40.1,1.579,29.17,28.99,29.08,Yes,0.3032,0.0196,3,9
151787,CR-010838,2006,Brha,Female,41.25,1.7423,31.54,31.92,31.73,Yes,0.3833,0.0419,13,7
151788,CR-010838,2006,Brha,Immature,39.55,1.376,26.77,29.63,28.2,Yes,0.3156,NA,NA,2-Jan
151789,CR-010838,2006,Brha,Immature,42.05,1.6017,32,31.4,31.7,Yes,0.3739,NA,NA,NA
151790,CR-010838,2006,Brha,Female,36.94,1.031,39.11,38.35,38.73,Yes,0.2299,0.0123,5,3
151791,CR-010838,2006,Brha,Immature,41.64,1.631,31.1,34.96,33.03,Yes,0.3627,NA,NA,NA
151792,CR-010838,2006,Brha,Immature,39.8,1.316,36.42,37.49,36.955,Yes,0.2963,NA,NA,NA
152039,CR-010846,1995,Brha,Female,44.03,NA,33.02,32.72,32.87,Yes,NA,NA,NA,NA
152040,CR-010846,1995,Brha,Female,49.46,NA,41.75,41.6,41.675,Yes,NA,NA,NA,NA
152041,CR-010846,1995,Brha,Female,49.93,NA,50.22,49.69,49.955,Yes,NA,NA,NA,NA
152042,CR-010846,1995,Brha,Female,45.25,NA,34.57,35,34.785,Yes,NA,NA,NA,NA
152043,CR-010846,1995,Brha,Female,41.46,NA,30.12,30.13,30.125,Yes,NA,NA,NA,NA
152044,CR-010846,1995,Brha,Female,36.99,NA,31.98,32.17,32.075,Yes,NA,NA,NA,NA
152045,CR-010846,1995,Brha,Female,34.52,NA,27.68,31.21,29.445,Yes,NA,NA,NA,NA
CR06-Pgil-01,Rio Bijagua Tributary,2024,Pgil,Female,42.47,1.84,104.44,104.13,104.285,Yes,0.4282,0.0471,11,8
CR06-Pgil-03,Rio Bijagua Tributary,2024,Pgil,Female,34.75,1.07,120.09,122.08,121.085,Yes,0.2193,0.0332,9,8
CR06-Pgil-05,Rio Bijagua Tributary,2024,Pgil,Female,33.2,0.77,95.81,98.06,96.935,Yes,0.1667,0.011,9,3
CR06-Pgil-02,Rio Bijagua Tributary,2024,Pgil,Immature,38.11,1.1,104.31,102.403,103.3565,Yes,NA,NA,NA,NA
CR06-Pgil-04,Rio Bijagua Tributary,2024,Pgil,Immature,34.07,0.76,71.89,68.98,70.435,Yes,NA,NA,NA,NA
CR06-Pgil-07,Rio Bijagua Tributary,2024,Pgil,Immature,28.74,0.42,65.22,73.9,69.56,Yes,NA,NA,NA,NA
CR12-Pgil-14,CR12,2024,Pgil,Female,32.42,0.68,118.94,118.79,118.865,Yes,NA,NA,NA,NA
CR12-Pgil-01,CR12,2024,Pgil,Female,47.88,3.08,189.58,187.53,188.555,Yes,0.5378,0.0725,33,9
